"","Date","LNVGY.Adjusted","YAMHF.Adjusted","COST.Adjusted","MUSA.Adjusted","JBLU.Adjusted","GD.Adjusted","RF.Adjusted","CSIOY.Adjusted","VLO.Adjusted","CAG.Adjusted"
"1",2016-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2016-04-01,"1.00%","-4.00%","-6.0%","-7.00%","-7.00%","7.00%","17.00%","-6.0%","-9.00%","0.00%"
"3",2016-05-01,"-27.00%","2.00%","1.0%","16.00%","-10.00%","2.00%","5.00%","-24.0%","-8.00%","3.00%"
"4",2016-06-01,"-2.00%","-12.00%","5.0%","8.00%","-8.00%","-2.00%","-16.00%","-8.0%","-6.00%","4.00%"
"5",2016-07-01,"7.00%","12.00%","6.0%","3.00%","10.00%","6.00%","8.00%","0.0%","2.00%","-2.00%"
"6",2016-08-01,"7.00%","16.00%","-3.0%","-5.00%","-15.00%","4.00%","8.00%","0.0%","6.00%","0.00%"
"7",2016-09-01,"0.00%","2.00%","-6.0%","-2.00%","7.00%","2.00%","-1.00%","-1.0%","-3.00%","1.00%"
"8",2016-10-01,"-4.00%","9.00%","-3.0%","-4.00%","1.00%","-3.00%","8.00%","6.0%","11.00%","2.00%"
"9",2016-11-01,"-3.00%","6.00%","1.0%","-1.00%","13.00%","14.00%","21.00%","-11.0%","4.00%","-2.00%"
"10",2016-12-01,"-2.00%","-8.00%","7.0%","-11.00%","10.00%","-2.00%","6.00%","6.0%","11.00%","7.00%"
"11",2017-01-01,"8.00%","-3.00%","2.0%","4.00%","-14.00%","5.00%","1.00%","-1.0%","-4.00%","-1.00%"
"12",2017-02-01,"-9.00%","9.00%","7.0%","0.00%","2.00%","5.00%","6.00%","0.0%","3.00%","6.00%"
"13",2017-03-01,"9.00%","4.00%","-5.0%","13.00%","3.00%","-1.00%","-5.00%","1.0%","-1.00%","-2.00%"
"14",2017-04-01,"-2.00%","-5.00%","6.0%","-6.00%","6.00%","3.00%","-5.00%","2.0%","-3.00%","-4.00%"
"15",2017-05-01,"2.00%","8.00%","2.0%","-2.00%","3.00%","5.00%","1.00%","9.0%","-5.00%","0.00%"
"16",2017-06-01,"-3.00%","5.00%","-8.0%","8.00%","2.00%","-3.00%","5.00%","-1.0%","10.00%","-8.00%"
"17",2017-07-01,"-3.00%","-3.00%","-1.0%","2.00%","-4.00%","-1.00%","0.00%","5.0%","2.00%","-4.00%"
"18",2017-08-01,"-9.00%","12.00%","-1.0%","-17.00%","-11.00%","3.00%","-3.00%","-14.0%","-1.00%","-5.00%"
"19",2017-09-01,"1.00%","5.00%","5.0%","7.00%","-7.00%","2.00%","7.00%","-1.0%","12.00%","4.00%"
"20",2017-10-01,"5.00%","0.00%","-2.0%","7.00%","3.00%","-1.00%","2.00%","4.0%","2.00%","1.00%"
"21",2017-11-01,"-2.00%","5.00%","13.0%","6.00%","11.00%","2.00%","7.00%","2.0%","8.00%","9.00%"
"22",2017-12-01,"1.00%","3.00%","1.0%","2.00%","4.00%","-2.00%","4.00%","-3.0%","8.00%","1.00%"
"23",2018-01-01,"2.00%","6.00%","4.0%","6.00%","-7.00%","9.00%","11.00%","5.0%","4.00%","1.00%"
"24",2018-02-01,"-11.00%","-7.00%","-2.0%","-14.00%","1.00%","0.00%","1.00%","-3.0%","-6.00%","-5.00%"
"25",2018-03-01,"-1.00%","-8.00%","-1.0%","-3.00%","-4.00%","-1.00%","-4.00%","1.0%","3.00%","2.00%"
